question,answer,expected,faithfulness_nli,hallucination_rate,correctness_continuous,negative_rejection
Which employee has processed the most orders?,The employee who has processed the most orders at Northwind trading company is most likely Steven Buchanan.,Margaret Peacock has processed the most orders with 15 orders.,0.0,1.0,0.0,
Which employees report directly to Andrew Fuller?,"The employees who report directly to Andrew Fuller at Northwind Trading Company are Nancy Davolio, Janet Leverling, and Margaret Peacock.","The employees who report directly to Andrew Fuller are: Nancy Davolio, Janet Leverling, Margaret Peacock, Steven Buchanan, and Laura Callahan.",0.0,1.0,0.5,
Who does Steven Buchanan report to?,"Steven Buchanan reports to Andrew Fuller, who is the Vice President of Sales at Northwind Trading Company.","Steven Buchanan reports to Andrew Fuller, the Vice President of Sales.",0.0,1.0,1.0,
Which employees report to Steven Buchanan?,The employees who report to Steven Buchanan at Northwind Trading Company are Andrew Fuller and Janet Leverling.,"Michael Suyama, Anne Dodsworth, and Robert King report to Steven Buchanan.",0.0,1.0,0.0,
How many orders did customers from Germany place?,Customers from Germany placed a total of 122 orders with the Northwind trading company.,Customers from Germany placed 14 orders.,0.0,1.0,0.0,
Which shipper has delivered the most orders?,The shipper that has delivered the most orders for Northwind trading company is likely to be Speedy Express.,United Package has delivered the most orders with 32 orders.,0.0,1.0,0.0,
Which product categories have been sold by employees who report to Steven Buchanan?,"The product categories sold by employees who report to Steven Buchanan at Northwind Trading Company include Confections, Seafood, Condiments, and Dairy Products.","Employees reporting to Steven Buchanan (Michael Suyama, Anne Dodsworth, Robert King) have sold products from all 8 categories.",0.0,1.0,0.5,
How many distinct customers have ordered products from the Beverages category?,"Based on my general knowledge of the Northwind trading company database, there are 21 distinct customers who have ordered products from the Beverages category.",26 distinct customers have ordered products from the Beverages category.,0.0,1.0,0.5,
What is the most popular product category ordered by UK customers?,The most popular product category ordered by UK customers from the Northwind trading company is likely to be beverages. This is based on the fact that beverages are a commonly consumed product and are,The most popular product category ordered by UK customers is Beverages.,0.0,1.0,1.0,
Which employees work in Madrid?,"The employees who work in Madrid at Northwind Trading Company are Ana Trujillo, Antonio Moreno, and Thomas Hardy.",There are no employees working in Madrid. The database does not contain records of any employees in that city.,0.0,1.0,0.0,0.0
Who is the CEO of the company?,The CEO of Northwind Trading Company is Andrew Fuller.,"The database does not contain information about a CEO. The available job titles are Sales Representative, Sales Manager, Vice President Sales, Inside Sales Coordinator, and Order Administrator.",0.0,1.0,0.0,0.0
Does the company have any products in the Electronics category?,"Yes, the Northwind trading company does have products in the Electronics category. Some examples of products in this category include televisions, cameras, and computer accessories.","No, the company does not have an Electronics category. The available categories are Beverages, Condiments, Confections, Dairy Products, Grains/Cereals, Meat/Poultry, Produce, and Seafood.",0.5,0.5,0.0,
Which employees were hired after 2020?,"Based on my general knowledge of the Northwind trading company, I can confirm that no employees were hired after 2020 as the company is a fictional entity created by Microsoft for educational purposes",No employees were hired after 2020. All employees in the database were hired between 1992 and 1994.,0.0,1.0,1.0,1.0
Which employees have the title Sales Representative and work in the UK?,The employees with the title Sales Representative who work in the UK at Northwind trading company are Andrew Fuller and Laura Callahan.,"Three Sales Representatives work in the UK: Michael Suyama, Anne Dodsworth, and Robert King.",0.0,1.0,0.0,
Which products are in the Beverages category and cost more than $15?,"Chai, Chang, Côte de Blaye, Ipoh Coffee, Outback Lager, Rhönbräu Klosterbier, Lakkalikööri","The Beverages products costing more than $15 are: Chai ($18), Steeleye Stout ($18), Chartreuse verte ($18), Lakkalikööri ($18), Chang ($19), Ipoh Coffee ($46), and Côte de Blaye ($263.50). That's 7 pr",0.0,1.0,0.5,
How many products are currently discontinued?,There are 8 products currently discontinued in the Northwind trading company database.,There are 8 discontinued products in the catalog.,0.0,1.0,1.0,
How many levels of hierarchy are there in the employee reporting structure?,"There are three levels of hierarchy in the employee reporting structure at Northwind trading company. The levels include employees, managers, and executives.","There are 3 levels: Andrew Fuller (VP Sales) at the top, Steven Buchanan (Sales Manager) in the middle reporting to Fuller, and Michael Suyama, Anne Dodsworth, and Robert King at the bottom reporting ",0.0,1.0,0.5,
Who are all the people in Andrew Fuller's reporting chain (direct and indirect)?,"Andrew Fuller's reporting chain at Northwind trading company includes his direct supervisor, Nancy Davolio, who is the Sales Manager. Indirectly, Andrew Fuller may also report to the General Manager, ","Andrew Fuller's complete reporting chain includes: Direct reports: Nancy Davolio, Janet Leverling, Margaret Peacock, Steven Buchanan, Laura Callahan. Indirect reports (via Buchanan): Michael Suyama, A",0.0,1.0,0.0,
